user,movie,prediction
53,148,4.5
4169,148,3.2245355
5333,148,2.6734424
4387,148,2.9515862
840,148,2.4876127
216,148,4.5
482,148,4.5
752,148,3.0535011
424,148,4.5
970,463,2.5037282
4169,463,2.5134125
26,463,4.5
319,463,4.5
202,463,4.5
721,463,3.4055483
331,463,4.5
524,463,4.5
1962,463,1.7075952
934,463,1.7627397
1088,471,3.347695
392,471,4.5
516,471,4.5
1265,471,4.5
4186,471,2.895089
588,471,4.5
78,471,4.5
796,471,3.2501678
1500,471,4.026489
4958,471,2.7541583
1243,471,3.7067623
406,471,4.5
587,471,4.5
26,471,4.5
743,471,3.74666
2168,471,4.590021
409,471,4.5
5333,471,3.309423
2127,471,4.061992
319,471,4.5
157,471,4.5
232,471,4.5
539,471,4.5
1505,471,4.147468
1425,471,4.6889067
132,471,4.5
386,471,4.5
146,471,4.5
1491,471,3.2375212
3648,471,2.6098318
631,471,4.5
442,471,4.5
1952,471,3.487562
1242,471,4.526607
839,471,4.306206
2880,471,4.4233546
692,471,4.800795
402,471,4.5
415,471,4.5
2627,471,3.5400572
425,471,4.5
1530,471,4.0256324
3285,471,3.7483048
4478,471,4.440867
5874,471,4.0157847
2841,471,4.2835684
3401,471,2.9202094
461,471,4.5
462,471,4.5
4809,471,3.7013197
2926,471,3.2369258
1211,471,4.79475
175,471,4.5
1698,471,4.2733955
2271,471,3.813508
721,471,2.3725693
1386,471,5.492439
698,471,4.658804
326,471,4.5
5938,471,4.5
981,471,4.015267
549,471,4.5
2436,471,4.3727183
136,471,4.5
331,471,4.5
428,471,4.5
2333,471,4.117398
3821,471,3.5235822
438,471,4.5
3430,471,2.895464
533,471,4.5
509,471,4.5
293,471,4.5
5172,471,4.5
216,471,4.5
1447,471,3.894429
3462,471,3.6328015
408,471,4.5
1897,471,3.4363089
95,471,4.5
482,471,4.5
2453,471,2.8801508
528,471,4.5
214,471,4.5
550,471,4.5
1079,471,3.2605784
352,471,4.5
752,471,4.126486
90,471,4.5
371,471,4.5
151,471,4.5
433,471,4.5
1383,471,3.3679912
478,471,4.5
1842,471,4.151359
58,471,4.5
369,471,4.5
541,471,4.5
1228,471,3.6764982
424,471,4.5
454,471,4.5
1448,471,2.527521
242,471,4.5
1983,471,4.313683
566,471,4.5
149,471,4.5
294,471,4.5
302,471,4.5
1202,471,3.1884928
3312,471,3.5860765
628,471,4.5
1584,471,3.5148218
2282,471,4.6848636
4602,471,3.1241682
934,471,3.3728585
5565,471,4.5
4607,471,4.043775
187,471,4.5
1291,496,3.0738919
1952,496,4.2377872
3080,496,3.95884
1635,496,4.851676
17,496,4.5
1698,496,4.645399
5394,496,4.5
864,496,2.716718
4169,833,1.9188671
2015,833,2.5638742
329,833,4.5
3792,833,2.27867
2168,833,3.6733432
22,833,4.5
1425,833,2.2102127
355,833,4.5
1516,833,2.748816
770,833,2.0621204
1779,833,2.9740496
438,833,4.5
2077,833,2.3071415
543,833,4.5
1647,833,1.8547653
293,833,4.5
1447,833,2.062633
2116,833,2.8661463
621,833,4.5
5394,833,4.5
242,833,4.5
148,1088,4.5
1088,1088,3.3198118
5156,1088,1.6379454
392,1088,4.5
3475,1088,3.562215
1265,1088,4.5
4186,1088,2.082072
53,1088,4.5
481,1088,4.5
133,1088,4.5
513,1088,4.5
4126,1088,3.5527413
1561,1088,3.6455247
4517,1088,2.9823267
5447,1088,4.5
412,1088,4.5
1752,1088,3.1459212
1889,1088,3.0079198
26,1088,4.5
1875,1088,2.7124977
329,1088,4.5
223,1088,4.5
3679,1088,3.2011607
2127,1088,3.1985312
601,1088,4.5
727,1088,3.7396631
346,1088,4.5
855,1088,3.2124052
5787,1088,4.5
1505,1088,3.8459036
2638,1088,2.9432812
556,1088,4.5
305,1088,4.5
291,1088,4.5
386,1088,4.5
1266,1088,3.3278792
146,1088,4.5
777,1088,2.6214435
4312,1088,2.5390358
5539,1088,2.4976926
442,1088,4.5
348,1088,4.5
6,1088,4.5
86,1088,4.5
5001,1088,4.01619
178,1088,4.5
169,1088,4.5
500,1088,4.5
692,1088,3.623635
5492,1088,4.5
2232,1088,3.1519864
1029,1088,3.313409
544,1088,4.5
1930,1088,3.0267518
268,1088,4.5
5488,1088,2.465047
92,1088,4.5
2909,1088,3.1959772
2810,1088,3.8834689
2847,1088,2.42907
1194,1088,3.5734134
3401,1088,2.5734067
366,1088,4.5
37,1088,4.5
461,1088,4.5
531,1088,4.5
324,1088,4.5
1164,1088,3.1117191
4940,1088,4.5
721,1088,4.3972673
583,1088,4.5
594,1088,4.5
310,1088,4.5
326,1088,4.5
59,1088,4.5
2832,1088,2.455625
136,1088,4.5
1998,1088,3.414647
2188,1088,2.897405
331,1088,4.5
2077,1088,3.2399435
543,1088,4.5
5063,1088,3.4964428
524,1088,4.5
264,1088,4.5
869,1088,4.1320477
635,1088,4.5
1724,1088,3.8721704
2350,1088,3.8624885
10,1088,4.5
1611,1088,2.6945577
3014,1088,3.5168228
38,1088,4.5
261,1088,4.5
1447,1088,3.958021
3462,1088,2.9265497
249,1088,4.5
5996,1088,4.010655
1421,1088,2.1475072
3842,1088,3.2449374
62,1088,4.5
1912,1088,1.5421208
411,1088,4.5
482,1088,4.5
2453,1088,3.505431
528,1088,4.5
2125,1088,3.2463021
2116,1088,3.865844
5723,1088,4.5
352,1088,4.5
678,1088,3.972155
3507,1088,2.3444963
752,1088,2.3062215
5458,1088,2.8211665
32,1088,4.5
382,1088,4.5
265,1088,4.5
151,1088,4.5
1579,1088,2.9188418
1383,1088,2.779629
639,1088,4.1897845
1268,1088,2.789085
33,1088,4.5
5394,1088,4.5
1448,1088,3.1974237
1958,1088,3.8662271
5277,1088,2.9129772
5205,1088,4.5
499,1088,4.5
5734,1088,4.5
1092,1088,2.9807718
6016,1088,1.2922139
3768,1088,3.0815508
3363,1088,3.069956
1776,1088,3.2166855
1117,1088,2.941529
4467,1088,2.7476947
5636,1088,3.0290682
517,1088,4.5
2376,1088,2.556333
5157,1238,4.5
4418,1238,3.1819234
193,1238,4.5
1274,1238,3.9992666
2962,1238,3.3755622
329,1238,4.5
973,1238,3.471263
91,1238,4.5
333,1238,4.5
2407,1238,3.9832993
157,1238,4.5
5787,1238,4.5
1505,1238,4.8649845
935,1238,3.5537293
1266,1238,3.3145268
1590,1238,2.638489
2781,1238,4.498742
5761,1238,4.5
1952,1238,4.508891
178,1238,4.5
1242,1238,3.6953027
235,1238,4.5
397,1238,4.5
117,1238,4.5
1002,1238,4.7164774
1181,1238,3.0788636
4448,1238,4.3728952
327,1238,4.5
4940,1238,4.5
498,1238,4.5
307,1238,4.5
161,1238,4.5
549,1238,4.5
2436,1238,4.099222
2832,1238,4.75124
691,1238,4.566491
635,1238,4.5
5172,1238,4.5
1897,1238,4.354146
3391,1238,4.5733905
464,1238,4.5
550,1238,4.5
2868,1238,3.5132177
1547,1238,2.4420776
4802,1238,4.5386434
3367,1238,4.5443716
525,1238,4.5
5991,1238,4.5
5019,1238,4.5
4467,1238,1.6902614
393,1238,4.5
1088,1342,2.0414555
53,1342,4.5
321,1342,4.5
4169,1342,2.5199785
1051,1342,2.9051328
2962,1342,2.0536516
1889,1342,2.6263154
548,1342,4.5
601,1342,4.5
855,1342,2.6336157
1266,1342,3.3253381
2796,1342,1.8733674
3648,1342,2.5540352
1516,1342,3.076944
676,1342,1.7615775
163,1342,4.5
1733,1342,2.5723417
2847,1342,1.531474
2910,1342,4.5
531,1342,4.5
5397,1342,2.3652477
1969,1342,3.069099
721,1342,3.0938056
1451,1342,3.3394785
1643,1342,2.6046703
278,1342,4.5
1737,1342,3.1337085
585,1342,4.5
543,1342,4.5
524,1342,4.5
533,1342,4.5
2129,1342,3.5263803
1611,1342,3.1258605
710,1342,3.0601184
352,1342,4.5
195,1342,4.5
